num,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,0,0,0,1,4.645800700003747,None,,001,2019_Dec_09_2121,ppp,3.2.4,60.25846058597453,
3,0,1,1,2,5.656250600004569,None,,001,2019_Dec_09_2121,ppp,3.2.4,60.25846058597453,
1,0,2,2,0,6.655679099960253,None,,001,2019_Dec_09_2121,ppp,3.2.4,60.25846058597453,
