num,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,4.242839399958029,None,,001,2019_Dec_09_2123,ppp,3.2.4,59.50691380402203,
3,0,1,1,2,5.254772799962666,None,,001,2019_Dec_09_2123,ppp,3.2.4,59.50691380402203,
